name,category,rating,reviews,address,phone,website,latitude,longitude,url,source,query,scraped_at
Мережі хостелів Likehostel,Hostel,4.1,23,,,,50.4366431,30.5053184,https://www.google.com/maps/place/x1,google-maps,Hotels in Kyiv,2026-08-20T09:32:47Z
Arenda Group - Kvartyry Podobovo V Kyyevi.,Holiday apartment,4.5,15,"Heroiv Dnipra St, 22А",,,50.521548,30.4953809,https://www.google.com/maps/place/x2,google-maps,Hotels in Kyiv,2026-08-20T09:32:47Z
Hotelʹ Kyiv,4-star hotel,4.2,1094,,,,50.4458618,30.538061,https://www.google.com/maps/place/x3,google-maps,Hotels in Kyiv,2026-08-20T09:32:47Z
Maidan Palace Hotel,4-star hotel,4.5,5329,,,,50.451374,30.525201,https://www.google.com/maps/place/x4,google-maps,Hotels in Kyiv,2026-08-20T09:32:47Z
Hotel Ukraine,4-star hotel,4.1,4711,,,,50.4486791,30.5276704,https://www.google.com/maps/place/x5,google-maps,Hotels in Kyiv,2026-08-20T09:32:47Z
